org_id,org_name,org_type,country
201,Jamaica Red Cross Society,NGO,Jamaica
202,Food for the Poor,NGO,Jamaica
203,Doctors Without Borders,Foreign,France
204,Jamaica Aid Group,Foreign,United Kingdom
205,Help Jamaica! e.V.,Foreign,Germany
206,SOS Children's Villages Jamaica,Foreign,Austria
207,Chalice,Foreign,Canada
208,Children of the Caribbean,Foreign,United States
209,UNICEF Jamaica,Foreign,United States
210,World Food Programme,Foreign,Italy
211,Caribbean Disaster Response Team,NGO,Jamaica
212,Global Medical Relief Fund,NGO,United States
213,International Red Cross,Foreign,Switzerland
214,JPS Fuundation,Private,United States
215,Digicel Foundation,Private,Jamaica
216,NCB Foundation,Private,Jamaica
217,Office of Disaster Preparedness and Emergency Management,Government,Jamaica
218,Jamaica Defence Force,Government,Jamaica
219,Jamaica Constabulary Force,Government,Jamaica
220,Pan American Health Organization,Foreign,United States
221,Sagicor Foundation,Private,Jamaica
222,Flow Foundation,Private,Jamaica
223,Barita Foundation,Private,Jamaica
224,JMMB Foundation,Private,Jamaica
225,JN Foundation,Private,Jamaica
