donation_id,org_id,amount,donation_date
9001,201,2000000,1/10/2025
9002,202,1507000,1/10/2025
9003,203,543000000,22/10/2025
9004,204,3811011,5/11/2025
9005,205,95000000000,2/11/2025
9006,206,2343111000,1/11/2025
9007,207,12939000,8/11/2025
9008,208,129200123,6/11/2025
9009,207,7987739,27/10/2025
9010,220,869598,11/11/2025
9011,215,15552902,7/11/2025
9012,211,8071379,6/11/2025
9013,208,3431068,29/10/2025
9014,221,3356415,1/11/2025
9015,207,974371,2/11/2025
9016,219,5754237,1/11/2025
9017,223,12361606,9/11/2025
9018,211,17850764,9/11/2025
9019,211,3444014,1/11/2025
9020,224,9702083,1/11/2025
9021,221,3059034,8/11/2025
9022,204,143585,29/10/2025
9023,208,14844108,1/11/2025
9024,224,2639448,3/11/2025
9025,203,16986772,6/11/2025
9026,222,18452773,6/11/2025
9027,221,14743995,28/10/2025
9028,202,10611699,31/10/2025
9029,224,8406461,9/11/2025
9030,212,2109021,27/10/2025
9031,206,1301482,7/11/2025
9032,202,17419551,10/11/2025
9033,221,11922585,11/11/2025
9034,201,2584413,27/10/2025
9035,212,3007360,31/10/2025
9036,222,5995544,7/11/2025
9037,212,2335000,8/11/2025
9038,225,4422252,11/11/2025
9039,217,5922184,29/10/2025
9040,210,502690,30/10/2025
9041,216,2648421,29/10/2025
9042,215,12704871,11/11/2025
9043,215,12295226,27/10/2025
9044,219,14481704,11/11/2025
9045,212,2054109,27/10/2025
9046,223,14521668,7/11/2025
9047,220,11601362,7/11/2025
9048,225,16366473,9/11/2025
9049,203,7305547,8/11/2025
9050,205,8423735,9/11/2025
9051,219,18261466,31/10/2025
9052,207,12514325,1/11/2025
9053,221,161087,29/10/2025
9054,209,13696255,7/11/2025
9055,207,14765175,4/11/2025
9056,218,18373392,31/10/2025
9057,204,10374621,3/11/2025
9058,225,13122704,8/11/2025
9059,214,16916569,27/10/2025
9060,218,6584531,9/11/2025
9061,209,7754909,31/10/2025
9062,221,4359622,10/11/2025
9063,202,5825570,29/10/2025
9064,220,17294096,7/11/2025
9065,215,15521040,27/10/2025
9066,207,5065050,30/10/2025
9067,212,913168,10/11/2025
9068,208,325281,8/11/2025
9069,215,11606305,31/10/2025
9070,203,19872981,11/11/2025
9071,214,7834102,2/11/2025
9072,217,5774719,27/10/2025
9073,204,8758144,11/11/2025
9074,218,6709280,29/10/2025
9075,208,4472093,11/11/2025
9076,204,18438945,28/10/2025
9077,202,10711417,4/11/2025
9078,206,5578047,5/11/2025
9079,222,1219043,10/11/2025
9080,210,11818070,1/11/2025
9081,204,16451434,5/11/2025
9082,222,10695511,29/10/2025
9083,218,14112538,3/11/2025
9084,212,7203230,9/11/2025
9085,202,2658231,3/11/2025
9086,210,6759908,28/10/2025
9087,204,3180389,11/11/2025
9088,214,1761909,10/11/2025
9089,216,19533354,1/11/2025
9090,215,16987294,2/11/2025
9091,208,18792847,28/10/2025
9092,214,6414127,10/11/2025
9093,223,9892712,6/11/2025
9094,225,2108187,5/11/2025
9095,208,1759066,28/10/2025
9096,221,2248815,5/11/2025
9097,216,7455740,27/10/2025
9098,213,6504003,3/11/2025
9099,218,4235314,27/10/2025
9100,215,1010681,4/11/2025
9101,221,18484834,6/11/2025
9102,224,19632639,1/11/2025
9103,225,10521958,11/11/2025
9104,213,10800595,2/11/2025
9105,209,13084808,8/11/2025
9106,215,14864960,5/11/2025
9107,213,16948511,2/11/2025
9108,201,9232582,5/11/2025
9109,225,7713287,29/10/2025
9110,207,16485802,28/10/2025
9111,209,3712600,4/11/2025
9112,224,17703032,3/11/2025
9113,201,12205878,8/11/2025
9114,212,10345534,7/11/2025
9115,208,10147453,5/11/2025
9116,224,2126793,2/11/2025
9117,211,654594,4/11/2025
9118,219,8636326,30/10/2025
9119,217,16137627,8/11/2025
9120,208,13328175,30/10/2025
9121,203,2304664,27/10/2025
9122,203,4441747,3/11/2025
9123,201,13056528,11/11/2025
9124,205,17564192,9/11/2025
9125,210,19349405,11/11/2025
9126,207,15587428,9/11/2025
9127,209,8606404,7/11/2025
9128,207,1341082,29/10/2025
9129,209,5284502,2/11/2025
9130,208,13381288,10/11/2025
9131,212,12603247,7/11/2025
9132,202,18456375,28/10/2025
9133,201,6141495,28/10/2025
9134,216,17669187,11/11/2025
9135,223,601157,2/11/2025
9136,223,11102109,10/11/2025
9137,224,6046594,1/11/2025
9138,205,11410552,29/10/2025
9139,203,11571761,4/11/2025
9140,212,19676703,5/11/2025
9141,208,3004941,10/11/2025
9142,222,8083441,9/11/2025
9143,203,5420385,8/11/2025
9144,201,18977237,1/11/2025
9145,203,13464386,5/11/2025
9146,205,15234415,5/11/2025
9147,215,9849436,1/11/2025
9148,214,17495683,27/10/2025
9149,203,5433152,30/10/2025
9150,201,10624227,5/11/2025
9151,205,12444096,1/11/2025
9152,223,7428141,10/11/2025
9153,214,18585139,1/11/2025
9154,207,5234207,6/11/2025
9155,209,8616999,7/11/2025
9156,215,9505634,31/10/2025
9157,215,5953584,27/10/2025
9158,210,14588191,3/11/2025
