report_id,community_id,report_date,category,severity_level,households_affected,statuses
10001,104,3/11/2025,Water Contamination,3,146,In Progress
10002,107,5/11/2025,Flooding,4,110,Reported
10003,103,7/11/2025,Wind Damage,4,124,Reported
10004,116,28/10/2025,Wind Damage,3,104,In Progress
10005,117,28/10/2025,Flooding,4,154,In Progress
10006,114,4/11/2025,Wind Damage,5,185,Verified
10007,108,10/11/2025,Wind Damage,4,112,Verified
10008,107,28/10/2025,Landslide,5,201,Resolved
10009,121,27/10/2025,Road Blockage,2,93,Pending
10010,101,7/11/2025,Flooding,5,199,In Progress
10011,144,1/11/2025,Flooding,2,70,Resolved
10012,125,28/10/2025,Wind Damage,4,152,Resolved
10013,135,30/10/2025,Flooding,2,55,Resolved
10014,106,11/11/2025,Water Contamination,4,116,Reported
10015,132,27/10/2025,Landslide,3,64,Resolved
10016,129,5/11/2025,Water Contamination,3,128,In Progress
10017,106,2/11/2025,Wind Damage,5,172,Resolved
10018,135,1/11/2025,Building Collapse,2,66,In Progress
10019,128,29/10/2025,Road Blockage,3,144,In Progress
10020,128,27/10/2025,Building Collapse,4,133,Resolved
10021,111,6/11/2025,Landslide,4,137,Verified
10022,102,3/11/2025,Wind Damage,4,175,In Progress
10023,102,29/10/2025,Flooding,4,164,Resolved
10024,113,11/11/2025,Power Outage,3,112,Reported
10025,143,9/11/2025,Wind Damage,2,86,Reported
10026,110,4/11/2025,Fire,5,216,In Progress
10027,108,10/11/2025,Fire,4,86,Verified
10028,105,29/10/2025,Water Contamination,5,232,In Progress
10029,101,29/10/2025,Building Collapse,5,228,In Progress
10030,119,29/10/2025,Bridge Collapse,3,104,Resolved
10031,103,3/11/2025,Medical Emergency,3,105,In Progress
10032,118,6/11/2025,Water Contamination,3,111,Verified
10033,103,11/11/2025,Water Contamination,3,107,Verified
10034,134,7/11/2025,Landslide,1,46,In Progress
10035,120,2/11/2025,Landslide,4,151,In Progress
10036,131,10/11/2025,Power Outage,2,55,Verified
10037,113,5/11/2025,Road Blockage,3,100,Verified
10038,123,28/10/2025,Wind Damage,4,153,Resolved
10039,118,10/11/2025,Landslide,3,91,Verified
10040,104,1/11/2025,Building Collapse,4,142,Resolved
10041,127,27/10/2025,Wind Damage,4,89,Resolved
10042,101,5/11/2025,Landslide,4,192,Verified
10043,112,5/11/2025,Flooding,5,220,In Progress
10044,119,6/11/2025,Flooding,3,79,In Progress
10045,124,4/11/2025,Flooding,3,107,Resolved
10046,118,28/10/2025,Landslide,3,107,Resolved
10047,123,31/10/2025,Fire,2,68,Verified
10048,102,28/10/2025,Wind Damage,5,184,Resolved
10049,117,1/11/2025,Power Outage,4,194,Verified
10050,109,11/11/2025,Wind Damage,4,124,Reported
10051,109,8/11/2025,Flooding,4,140,Reported
10052,115,7/11/2025,Water Contamination,4,145,Reported
10053,101,4/11/2025,Building Collapse,5,144,Pending
10054,104,11/11/2025,Building Collapse,4,135,Reported
10055,110,10/11/2025,Power Outage,4,165,Verified
10056,125,28/10/2025,Flooding,3,90,Resolved
10057,104,28/10/2025,Building Collapse,5,177,In Progress
10058,114,2/11/2025,Road Blockage,4,84,Resolved
10059,111,1/11/2025,Road Blockage,5,180,In Progress
10060,123,30/10/2025,Wind Damage,4,117,In Progress
10061,109,6/11/2025,Power Outage,3,99,Verified
10062,111,11/11/2025,Wind Damage,4,88,Verified
10063,122,11/11/2025,Flooding,3,108,Reported
10064,138,31/10/2025,Fire,1,37,Resolved
10065,112,28/10/2025,Building Collapse,5,240,In Progress
10066,130,29/10/2025,Landslide,3,100,In Progress
10067,104,8/11/2025,Power Outage,3,95,Verified
10068,115,5/11/2025,Bridge Collapse,4,117,Reported
10069,126,8/11/2025,Road Blockage,3,147,Reported
10070,141,1/11/2025,Flooding,3,141,In Progress
10071,113,4/11/2025,Building Collapse,4,130,In Progress
10072,128,7/11/2025,Flooding,3,109,In Progress
10073,123,29/10/2025,Landslide,4,167,Resolved
10074,138,9/11/2025,Flooding,2,56,In Progress
10075,121,27/10/2025,Power Outage,4,177,Resolved
10076,115,1/11/2025,Wind Damage,4,151,In Progress
10077,136,10/11/2025,Bridge Collapse,3,121,Verified
10078,132,30/10/2025,Wind Damage,4,103,Resolved
10079,121,9/11/2025,Bridge Collapse,3,128,In Progress
10080,114,31/10/2025,Road Blockage,4,143,Resolved
10081,102,9/11/2025,Building Collapse,5,210,In Progress
10082,125,9/11/2025,Medical Emergency,2,60,Verified
10083,112,11/11/2025,Power Outage,5,150,Verified
10084,129,4/11/2025,Water Contamination,2,72,In Progress
10085,118,6/11/2025,Water Contamination,2,43,Reported
10086,128,2/11/2025,Fire,4,113,Pending
10087,139,7/11/2025,Road Blockage,2,86,In Progress
10088,130,6/11/2025,Wind Damage,3,138,Verified
10089,129,11/11/2025,Fire,3,92,Reported
10090,128,28/10/2025,Medical Emergency,3,124,Resolved
10091,137,29/10/2025,Medical Emergency,2,50,Resolved
10092,109,7/11/2025,Flooding,4,128,Reported
10093,134,31/10/2025,Building Collapse,2,66,Verified
10094,133,5/11/2025,Wind Damage,3,87,Verified
10095,103,30/10/2025,Medical Emergency,4,151,Resolved
10096,135,10/11/2025,Building Collapse,1,24,Reported
