center_id,parish_id,center_name,center_type,capacity,is_active
30001,14,Aeolus Valley Primary School,Government School,6358,1
30002,14,Airy Castle Primary School,Government School,1474,1
30003,14,Barking Lodge Primary School,Government School,6103,1
30004,14,Bath Primary & Junior High School,Government School,3576,0
30005,14,Bethesda (Llandewey) Primary School,Government School,8707,0
30006,14,Botany Bay Community Centre,Community Centre,4694,0
30007,14,Cedar Valley Primary and Junior High,Government School,873,1
30008,14,Dalvey Primary School,Government School,7747,1
30009,14,Duckenfield Primary School,Government School,2074,0
30010,14,Easington Primary School,Government School,7026,1
30011,14,Font Hill Primary School,Government School,6613,0
30012,14,Grants Pen Primary School,Government School,1267,0
30013,14,11 Miles Community Centre,Community Centre,1282,0
30014,14,Hayfield All Age School,Government School,8344,1
30015,14,Jamaica Bible Church,Church,412,1
30016,14,Mount Vernon Primary School,Government School,8520,0
30017,14,Middleton Primary School,Government School,6122,1
30018,14,Hillside Primary School,Government School,2658,0
30019,14,Johnson Mountain All-Age School,Government School,2043,0
30020,14,Johnstown Primary School,Government School,1174,1
30021,14,Lyssons Primary School,Government School,4165,1
30022,14,Minto Primary School,Government School,8540,1
30023,14,Morant Bay Primary School,Government School,3615,1
30024,14,Old Pera Primary School,Government School,2491,1
30025,14,Paul Bogle Junior High School,Government School,8442,0
30026,14,Pear Tree River Primary School,Government School,6978,0
30027,14,Penlyne Castle Primary School,Government School,9929,1
30028,14,Port Morant Primary and Junior High School,Government School,9904,0
30029,14,Prospect Primary School,Government School,2151,1
30030,14,Richmond Gap Primary School,Government School,9010,1
30031,14,Robert Lightbourne High School,Government School,5594,1
30032,14,Rowlandsfield Primary School,Government School,8561,0
30033,14,Seaforth Primary School,Government School,4945,1
30034,14,Seaforth High School,Government School,1999,1
30035,14,Spring Garden Primary School,Government School,682,1
30036,14,14 Technical High School,Government School,7232,1
30037,14,Thornton Primary School,Government School,3543,1
30038,14,White Hall Primary,Government School,1980,0
30039,14,Trinityville Primary School,Government School,5957,0
30040,14,White Horses Primary School,Government School,9940,1
30041,14,Wilmington Primary School,Government School,6726,0
30042,14,Yallahs Primary School,Government School,8045,1
30043,14,Woburn Lawn Primary School,Government School,4011,0
30044,9,Bonnett Primary School,Government School,802,0
30045,9,Born Again Mystic Deliverance Ministry,Church,3531,0
30046,9,Browns Hall Primary School,Government School,4103,1
30047,9,Cedar Valley Primary School,Government School,2575,0
30048,9,Central Village Multi-Purpose,Community Centre,3396,0
30049,9,Charlemont High School,Government School,1515,1
30050,9,Crescent Primary School,Government School,1742,1
30051,9,Eltham Park Primary School,Government School,8943,0
30052,9,Ensom City Primary School,Government School,6224,0
30053,9,Ewarton High School,Government School,7220,0
30054,9,G.C.Foster College,Government Owned College,7339,1
30055,9,Spanish Town Primary School,Government School,9018,0
30056,9,Orangefield Community Centre,Community Centre,5959,1
30057,9,Polly Ground Primary School,Government School,4585,0
30058,9,Guys Hill High School,Government School,5935,0
30059,9,Mt. Nebo Primary School,Government School,6944,0
30060,9,Seafield Primary School,Government School,1009,0
30061,9,Redwood Primary School,Government School,1263,0
30062,9,March Street Basic School,Government School,9806,1
30063,9,Sergeantville Primary School,Government School,7254,1
30064,9,Linstead Primary Junior High School,Government School,4120,1
30065,9,Victoria Primary School,Government School,8236,1
30066,9,Glengoffe High School,Government School,5187,1
30067,9,Cassava River Primary and Infant School,Government School,7605,1
30068,9,Wakefield Primary School,Government School,4853,0
30069,9,Lluidas Vale Primary School,Government School,7464,1
30070,9,Top Hill Primary School,Government School,2174,1
30071,9,Tydixon Primary School,Government School,3288,1
30072,9,Bartons Primary School,Government School,3374,1
30073,9,Old Harbour Primary School,Government School,568,1
30074,9,Davis Primary School,Government School,8275,0
30075,9,Old Harbour High School,Government School,7957,1
30076,9,Watermount Primary School,Government School,10000,1
30077,9,Tacius Golding High School,Government School,9678,1
30078,9,Point Hill Primary School,Government School,472,0
30079,9,Simon Primary and Infant School,Government School,1809,1
30080,9,McGrath High School,Government School,2520,0
30081,9,White Marl Primary School,Government School,1756,1
30082,9,Enid Bennett High School,Government School,1567,1
30083,9,Friendship Primary School,Government School,158,0
30084,9,New Testament Church of God (Little Africa Star),Church,7045,1
30085,9,9 High School,Government School,6344,0
30086,9,Homestead Primary School,Government School,3002,1
30087,9,St. John's Primary School,Government School,3698,1
30088,9,Horizon Park Primary & Junior High,Government School,359,1
30089,9,Rosemount Primary School,Government School,1719,0
30090,9,Commodore New Testament Church,Church,2336,1
30091,9,St. Faith's Primary School,Government School,7491,0
30092,9,Sligoville Primary School,Government School,3135,0
30093,9,Mt.Moreland Primary & Jnr. High,Government School,4181,0
30094,9,Top Jackson Primary School,Government School,7784,0
30095,9,James Mountain Community Centre,Community Centre,7967,0
30096,9,Waugh Hill Basic School,Government School,2181,0
30097,9,McAuley Primary School,Government School,4904,0
30098,9,Troja Primary Junior High & Infant School,Government School,950,1
30099,9,Ham Walk Primary & Infant School,Government School,6616,0
30100,9,Harewood Primary School,Government School,3813,1
30101,9,Mt. Hermon Primary School,Government School,9287,1
30102,9,Berwick Primary School,Government School,5604,0
30103,9,Gwenneil Basic School,Government School,9892,1
30104,9,Glade Community Centre,Community Centre,4589,0
30105,9,Church of God of Prophecy,Church,982,1
30106,9,Innswood High School,Government School,4283,0
30107,9,Sydenham Community Center,Government School,9193,0
30108,9,Lucky Valley Primary School,Government School,6205,0
30109,9,10's Primary,Government School,4765,1
30110,9,Assembly of Righteous,Government School,8685,0
30111,9,Jose Marti Technical High School,Government School,8835,0
30112,9,Ascot High School,Government School,2463,0
30113,9,HEART College of Construction Services,Government School,8523,1
