allocation_id,site_id,org_id,resource_type,allocation_date,quantity,unit_value,total_value
700001,5001,220,Roofing Materials,6/11/2025,81,4164.68,337339.08
700002,5001,206,Generator,7/11/2025,3,17265.16,51795.48
700003,5001,219,Cleaning Supplies,2/11/2025,279,2802,781758
700004,5001,215,Cleaning Supplies,2/11/2025,219,2035.12,445691.28
700005,5001,212,Generator,5/11/2025,6,29668.78,178012.68
700006,5001,225,Cleaning Supplies,7/11/2025,210,2693.61,565658.1
700007,5001,205,Generator,2/11/2025,6,37180.32,223081.92
700008,5001,201,Water Bottles,31/10/2025,822,1240.69,1019847.18
700009,5001,207,Medical Supplies,30/10/2025,405,10368.63,4199295.15
700010,5001,225,Roofing Materials,1/11/2025,141,4880.42,688139.22
700011,5001,220,Roofing Materials,4/11/2025,66,6585.62,434650.92
700012,5001,217,Medical Supplies,5/11/2025,273,19837.17,5415547.41
700013,5001,201,Water Bottles,9/11/2025,687,621.28,426819.36
700014,5001,222,Water Bottles,27/10/2025,900,1516.35,1364715
700015,5001,201,Generator,3/11/2025,3,21520.73,64562.19
700016,5001,201,Cleaning Supplies,31/10/2025,198,3801.43,752683.14
700017,5001,204,Cleaning Supplies,9/11/2025,354,3194.94,1131008.76
700018,5001,220,Water Bottles,27/10/2025,681,865.98,589732.38
700019,5001,201,Cleaning Supplies,27/10/2025,294,4074.22,1197820.68
700020,5001,205,Roofing Materials,27/10/2025,195,5355.94,1044408.3
700021,5001,203,Generator,1/11/2025,9,35252.83,317275.47
700022,5001,225,Roofing Materials,7/11/2025,231,4220.93,975034.83
700023,5001,222,Water Bottles,4/11/2025,855,556.02,475397.1
700024,5001,212,Cleaning Supplies,31/10/2025,291,3798.05,1105232.55
700025,5001,219,Cleaning Supplies,5/11/2025,252,2713.26,683741.52
700026,5001,225,Roofing Materials,31/10/2025,60,10062.77,603766.2
700027,5001,205,Medical Supplies,9/11/2025,447,10980.61,4908332.67
700028,5001,204,Generator,30/10/2025,9,30910.09,278190.81
700029,5001,220,Cleaning Supplies,28/10/2025,192,4765.86,915045.12
700030,5001,202,Roofing Materials,29/10/2025,207,4945.32,1023681.24
700031,5001,224,Cleaning Supplies,4/11/2025,150,3274.08,491112
700032,5001,205,Cleaning Supplies,27/10/2025,252,4610.21,1161772.92
700033,5001,209,Water Bottles,7/11/2025,324,1447.76,469074.24
700034,5001,223,Medical Supplies,2/11/2025,444,24562.22,10905625.68
700035,5001,217,Roofing Materials,1/11/2025,78,8650.44,674734.32
700036,5001,217,Medical Supplies,8/11/2025,129,20039.08,2585041.32
700037,5001,220,Cleaning Supplies,3/11/2025,270,1950.03,526508.1
700038,5001,213,Roofing Materials,8/11/2025,198,9035.19,1788967.62
700039,5001,221,Water Bottles,2/11/2025,852,660.13,562430.76
700040,5001,205,Medical Supplies,30/10/2025,309,8549.37,2641755.33
700041,5001,205,Medical Supplies,28/10/2025,147,22723.09,3340294.23
700042,5001,222,Water Bottles,6/11/2025,828,584.56,484015.68
700043,5001,205,Roofing Materials,31/10/2025,87,9373.61,815504.07
700044,5001,208,Generator,5/11/2025,6,25513.39,153080.34
700045,5001,205,Roofing Materials,9/11/2025,63,4728.02,297865.26
700046,5001,201,Cleaning Supplies,9/11/2025,240,4368.37,1048408.8
700047,5001,211,Water Bottles,29/10/2025,630,1461.31,920625.3
700048,5001,218,Roofing Materials,5/11/2025,210,5650.67,1186640.7
700049,5001,213,Water Bottles,4/11/2025,375,1881.31,705491.25
700050,5001,215,Generator,7/11/2025,9,36680.37,330123.33
700051,5001,206,Water Bottles,29/10/2025,342,1761.06,602282.52
700052,5001,210,Water Bottles,4/11/2025,624,1379.8,860995.2
700053,5001,224,Water Bottles,8/11/2025,891,868.94,774225.54
700054,5001,223,Water Bottles,29/10/2025,390,1954.21,762141.9
700055,5001,225,Generator,6/11/2025,6,22215.76,133294.56
700056,5001,205,Water Bottles,30/10/2025,528,595.06,314191.68
700057,5001,217,Medical Supplies,6/11/2025,162,15001.3,2430210.6
700058,5001,203,Medical Supplies,3/11/2025,309,22311.09,6894126.81
700059,5001,204,Medical Supplies,8/11/2025,243,21882.19,5317372.17
700060,5001,223,Generator,9/11/2025,3,28336.53,85009.59
700061,5001,207,Water Bottles,30/10/2025,768,550.3,422630.4
700062,5001,215,Cleaning Supplies,8/11/2025,351,2945.43,1033845.93
700063,5001,205,Cleaning Supplies,6/11/2025,309,2151.72,664881.48
700064,5001,211,Cleaning Supplies,7/11/2025,291,4084.99,1188732.09
700065,5001,201,Roofing Materials,31/10/2025,135,4438.09,599142.15
700066,5001,221,Generator,4/11/2025,9,18521.43,166692.87
700067,5002,225,Construction Tools,1/11/2025,216,18722.69,4044101.04
700068,5002,208,Roofing Materials,2/11/2025,60,7021.81,421308.6
700069,5002,201,Fuel,28/10/2025,285,4671.81,1331465.85
700070,5002,202,Construction Tools,27/10/2025,126,19683.97,2480180.22
700071,5002,205,Fuel,29/10/2025,111,4985.92,553437.12
700072,5002,207,Generator,2/11/2025,3,24492.31,73476.93
700073,5002,223,Construction Tools,30/10/2025,72,10177.88,732807.36
700074,5002,223,Roofing Materials,28/10/2025,210,5058.21,1062224.1
700075,5002,205,Fuel,1/11/2025,141,5487.32,773712.12
700076,5002,206,Fuel,3/11/2025,123,6854.56,843110.88
700077,5002,221,Construction Tools,29/10/2025,135,6023.75,813206.25
700078,5002,224,Roofing Materials,5/11/2025,165,7793.9,1285993.5
700079,5002,201,Roofing Materials,8/11/2025,186,4824.75,897403.5
700080,5002,217,Water Bottles,27/10/2025,519,1637.59,849909.21
700081,5002,218,Roofing Materials,7/11/2025,102,7785.68,794139.36
700082,5002,207,Roofing Materials,29/10/2025,201,9156.37,1840430.37
700083,5002,212,Construction Tools,8/11/2025,159,18274.98,2905721.82
700084,5002,213,Generator,7/11/2025,6,16317.1,97902.6
700085,5002,217,Water Bottles,9/11/2025,1032,637.55,657951.6
700086,5002,224,Generator,30/10/2025,6,34658.63,207951.78
700087,5002,211,Construction Tools,1/11/2025,174,18186.77,3164497.98
700088,5002,213,Generator,6/11/2025,6,28125.79,168754.74
700089,5002,210,Fuel,28/10/2025,333,5684.87,1893061.71
700090,5002,203,Fuel,7/11/2025,174,5754.29,1001246.46
700091,5002,205,Generator,28/10/2025,6,31552.8,189316.8
700092,5002,208,Fuel,8/11/2025,186,6541.81,1216776.66
700093,5002,206,Construction Tools,2/11/2025,72,18213.06,1311340.32
700094,5002,212,Generator,8/11/2025,6,25806.02,154836.12
700095,5002,202,Construction Tools,7/11/2025,102,18980.42,1936002.84
700096,5002,224,Fuel,28/10/2025,237,4918.06,1165580.22
700097,5002,211,Generator,2/11/2025,6,34320.57,205923.42
700098,5002,220,Fuel,6/11/2025,288,6192.63,1783477.44
700099,5002,206,Generator,8/11/2025,9,34273.05,308457.45
700100,5002,214,Generator,30/10/2025,9,32139.13,289252.17
700101,5002,204,Roofing Materials,1/11/2025,201,4092.96,822684.96
700102,5002,214,Fuel,8/11/2025,354,4210.23,1490421.42
700103,5002,220,Roofing Materials,5/11/2025,177,7175.39,1270044.03
700104,5002,214,Generator,28/10/2025,9,32726.51,294538.59
700105,5002,208,Generator,7/11/2025,6,19099.99,114599.94
700106,5002,214,Fuel,28/10/2025,123,4684.48,576191.04
700107,5002,218,Generator,29/10/2025,6,19354.83,116128.98
700108,5002,221,Generator,8/11/2025,3,36835.58,110506.74
700109,5002,202,Construction Tools,1/11/2025,174,9152.42,1592521.08
700110,5002,223,Generator,7/11/2025,6,29823.77,178942.62
700111,5002,206,Roofing Materials,6/11/2025,132,7630.32,1007202.24
700112,5002,214,Generator,8/11/2025,6,23918.3,143509.8
700113,5002,212,Water Bottles,27/10/2025,1020,1309.86,1336057.2
700114,5002,201,Fuel,1/11/2025,264,7825.59,2065955.76
700115,5002,223,Construction Tools,1/11/2025,117,6886.12,805676.04
700116,5002,215,Generator,27/10/2025,9,37966.94,341702.46
700117,5002,201,Fuel,9/11/2025,246,4590.56,1129277.76
700118,5002,209,Fuel,30/10/2025,99,7089.17,701827.83
700119,5002,212,Generator,2/11/2025,9,30487.26,274385.34
700120,5002,214,Roofing Materials,29/10/2025,120,8641.38,1036965.6
700121,5002,216,Generator,7/11/2025,9,26979.58,242816.22
700122,5002,219,Generator,9/11/2025,3,39418.13,118254.39
700123,5002,225,Fuel,2/11/2025,309,7588.76,2344926.84
700124,5002,213,Water Bottles,1/11/2025,957,1759.79,1684119.03
700125,5002,219,Construction Tools,7/11/2025,174,15013.25,2612305.5
700126,5002,216,Water Bottles,29/10/2025,957,587.68,562409.76
700127,5002,207,Roofing Materials,27/10/2025,90,4685.27,421674.3
700128,5002,208,Roofing Materials,6/11/2025,75,11040.63,828047.25
700129,5002,203,Generator,2/11/2025,6,19261.95,115571.7
700130,5002,210,Roofing Materials,2/11/2025,105,4160.21,436822.05
700131,5002,201,Roofing Materials,9/11/2025,120,4504.87,540584.4
700132,5002,213,Generator,4/11/2025,3,29364.68,88094.04
700133,5002,205,Construction Tools,5/11/2025,93,18958.93,1763180.49
700134,5003,203,Generator,6/11/2025,4,37456.54,149826.16
700135,5003,214,Roofing Materials,30/10/2025,44,4639.72,204147.68
700136,5003,213,Cleaning Supplies,28/10/2025,178,3410.21,607017.38
700137,5003,218,Roofing Materials,10/11/2025,150,9532.94,1429941
700138,5003,208,Medical Supplies,31/10/2025,284,10953.79,3110876.36
700139,5003,222,Roofing Materials,8/11/2025,82,5517.56,452439.92
700140,5003,218,Roofing Materials,31/10/2025,144,4784.66,688991.04
700141,5003,220,Cleaning Supplies,28/10/2025,162,1532.58,248277.96
700142,5003,218,Generator,11/11/2025,2,39706.88,79413.76
700143,5003,223,Roofing Materials,3/11/2025,64,7100.76,454448.64
700144,5003,220,Water Bottles,2/11/2025,684,1646.56,1126247.04
700145,5003,208,Medical Supplies,4/11/2025,210,8177.27,1717226.7
700146,5003,208,Generator,1/11/2025,2,25801.92,51603.84
700147,5003,225,Generator,1/11/2025,4,28600.41,114401.64
700148,5003,221,Roofing Materials,9/11/2025,80,6154.65,492372
700149,5003,202,Roofing Materials,31/10/2025,68,9947.39,676422.52
700150,5003,223,Roofing Materials,9/11/2025,116,11051.61,1281986.76
700151,5003,210,Generator,6/11/2025,2,15882.78,31765.56
700152,5003,217,Medical Supplies,28/10/2025,184,13557.84,2494642.56
700153,5003,203,Generator,31/10/2025,4,31058.14,124232.56
700154,5003,224,Roofing Materials,11/11/2025,154,7986.05,1229851.7
700155,5003,213,Cleaning Supplies,9/11/2025,174,2760.8,480379.2
700156,5003,215,Water Bottles,4/11/2025,434,677.5,294035
700157,5003,225,Cleaning Supplies,8/11/2025,78,4326.79,337489.62
700158,5003,219,Roofing Materials,8/11/2025,112,11275.12,1262813.44
700159,5003,209,Cleaning Supplies,7/11/2025,178,1053.61,187542.58
700160,5003,210,Generator,4/11/2025,2,17160.62,34321.24
700161,5003,215,Generator,11/11/2025,6,31354.37,188126.22
700162,5003,205,Medical Supplies,29/10/2025,256,24445.06,6257935.36
700163,5003,202,Cleaning Supplies,5/11/2025,144,1326.9,191073.6
700164,5003,202,Water Bottles,8/11/2025,532,1188.86,632473.52
700165,5003,204,Cleaning Supplies,1/11/2025,88,4482.31,394443.28
700166,5003,203,Cleaning Supplies,27/10/2025,142,4288.41,608954.22
700167,5003,209,Cleaning Supplies,31/10/2025,228,4587.83,1046025.24
700168,5003,218,Water Bottles,3/11/2025,658,1481.44,974787.52
700169,5003,212,Water Bottles,9/11/2025,436,1452.01,633076.36
700170,5003,225,Water Bottles,27/10/2025,590,781.12,460860.8
700171,5003,211,Generator,10/11/2025,2,18549.3,37098.6
700172,5003,209,Water Bottles,10/11/2025,362,1762.17,637905.54
700173,5003,202,Water Bottles,3/11/2025,694,1755.56,1218358.64
700174,5003,221,Water Bottles,4/11/2025,432,1711.09,739190.88
700175,5003,202,Cleaning Supplies,31/10/2025,202,2916.28,589088.56
700176,5003,214,Water Bottles,29/10/2025,538,1338.78,720263.64
700177,5003,221,Roofing Materials,30/10/2025,118,9841.97,1161352.46
700178,5003,208,Generator,4/11/2025,2,36392.4,72784.8
700179,5003,221,Roofing Materials,11/11/2025,78,11646.6,908434.8
700180,5003,208,Cleaning Supplies,1/11/2025,210,1659.3,348453
700181,5003,204,Cleaning Supplies,8/11/2025,192,3974.38,763080.96
700182,5003,208,Water Bottles,7/11/2025,410,1416.17,580629.7
700183,5003,208,Water Bottles,30/10/2025,446,1095.2,488459.2
700184,5003,221,Water Bottles,6/11/2025,532,1175.9,625578.8
700185,5003,221,Roofing Materials,7/11/2025,134,10636.7,1425317.8
700186,5003,218,Generator,30/10/2025,4,25316.88,101267.52
700187,5003,209,Generator,28/10/2025,6,16661.1,99966.6
700188,5004,208,Construction Tools,27/10/2025,124,9425.61,1168775.64
700189,5004,222,Fuel,30/10/2025,296,7112.11,2105184.56
700190,5004,216,Generator,29/10/2025,4,23494.22,93976.88
700191,5004,210,Generator,29/10/2025,12,26350.04,316200.48
700192,5004,204,Roofing Materials,27/10/2025,96,7313.2,702067.2
700193,5004,215,Roofing Materials,28/10/2025,224,4705.61,1054056.64
700194,5004,217,Roofing Materials,5/11/2025,164,6418.67,1052661.88
700195,5004,217,Roofing Materials,29/10/2025,252,10534.06,2654583.12
700196,5004,203,Generator,29/10/2025,8,37736.37,301890.96
700197,5004,211,Construction Tools,30/10/2025,124,5569.72,690645.28
700198,5004,212,Generator,2/11/2025,8,36639.43,293115.44
700199,5004,214,Fuel,29/10/2025,320,3297.36,1055155.2
700200,5004,206,Fuel,30/10/2025,168,3152.75,529662
700201,5004,212,Construction Tools,29/10/2025,216,8160.57,1762683.12
700202,5004,201,Fuel,27/10/2025,148,3443.02,509566.96
700203,5004,206,Fuel,29/10/2025,128,7344.72,940124.16
700204,5004,206,Generator,27/10/2025,8,26910.92,215287.36
700205,5004,201,Roofing Materials,1/11/2025,288,7631.57,2197892.16
700206,5004,220,Generator,30/10/2025,8,22106.85,176854.8
700207,5004,218,Generator,31/10/2025,12,26674.2,320090.4
700208,5004,206,Roofing Materials,4/11/2025,192,11543.87,2216423.04
700209,5004,224,Generator,1/11/2025,4,39151.19,156604.76
700210,5004,212,Fuel,5/11/2025,304,3524.04,1071308.16
700211,5004,216,Construction Tools,31/10/2025,216,10547.2,2278195.2
700212,5004,201,Generator,1/11/2025,4,29479.38,117917.52
700213,5004,221,Generator,27/10/2025,4,18109.21,72436.84
700214,5004,210,Fuel,30/10/2025,184,4988.24,917836.16
700215,5004,212,Fuel,31/10/2025,284,4466.54,1268497.36
700216,5004,216,Generator,28/10/2025,4,16642.37,66569.48
700217,5004,209,Roofing Materials,28/10/2025,188,9207.66,1731040.08
700218,5004,222,Roofing Materials,28/10/2025,180,9087.64,1635775.2
700219,5004,211,Roofing Materials,29/10/2025,284,7978.5,2265894
700220,5004,201,Construction Tools,29/10/2025,212,8628.4,1829220.8
700221,5004,206,Roofing Materials,30/10/2025,256,5575.41,1427304.96
700222,5004,225,Generator,28/10/2025,4,24880.15,99520.6
700223,5004,216,Construction Tools,5/11/2025,108,7425.07,801907.56
700224,5004,209,Roofing Materials,27/10/2025,224,10466.2,2344428.8
700225,5004,203,Generator,1/11/2025,8,15815.45,126523.6
700226,5004,203,Roofing Materials,30/10/2025,180,5532.74,995893.2
700227,5004,210,Fuel,28/10/2025,136,5908.11,803502.96
700228,5004,219,Roofing Materials,29/10/2025,264,5635.69,1487822.16
700229,5004,216,Fuel,27/10/2025,388,3238.21,1256425.48
700230,5004,202,Roofing Materials,30/10/2025,288,8180.08,2355863.04
700231,5004,207,Fuel,29/10/2025,360,6658.62,2397103.2
700232,5004,205,Roofing Materials,28/10/2025,280,8725.1,2443028
700233,5004,210,Construction Tools,27/10/2025,212,16709.48,3542409.76
700234,5004,201,Fuel,30/10/2025,260,7017.59,1824573.4
700235,5004,202,Fuel,27/10/2025,408,6635.28,2707194.24
700236,5004,215,Generator,2/11/2025,8,32654.83,261238.64
700237,5004,201,Roofing Materials,31/10/2025,288,5053.72,1455471.36
700238,5004,204,Generator,28/10/2025,8,16295.89,130367.12
700239,5004,217,Generator,28/10/2025,12,23336.56,280038.72
700240,5004,222,Roofing Materials,27/10/2025,196,10007.52,1961473.92
700241,5004,218,Fuel,30/10/2025,344,7894.79,2715807.76
700242,5004,217,Generator,27/10/2025,12,38785.58,465426.96
700243,5004,209,Construction Tools,1/11/2025,152,14354.73,2181918.96
700244,5004,204,Fuel,31/10/2025,232,7695.29,1785307.28
700245,5004,213,Generator,31/10/2025,4,17547.33,70189.32
700246,5004,203,Generator,2/11/2025,12,32521.69,390260.28
700247,5004,213,Generator,1/11/2025,4,33318.34,133273.36
700248,5004,201,Fuel,31/10/2025,308,6933.85,2135625.8
700249,5004,208,Fuel,2/11/2025,440,7476.73,3289761.2
700250,5004,211,Fuel,1/11/2025,276,4461.92,1231489.92
700251,5004,211,Construction Tools,27/10/2025,188,6580.9,1237209.2
700252,5004,207,Fuel,2/11/2025,452,5766.9,2606638.8
700253,5004,213,Fuel,28/10/2025,336,7381.6,2480217.6
700254,5004,222,Roofing Materials,3/11/2025,244,7288.75,1778455
700255,5004,216,Fuel,30/10/2025,456,3095.64,1411611.84
700256,5004,219,Generator,27/10/2025,8,25394.38,203155.04
700257,5004,201,Fuel,1/11/2025,276,6157.09,1699356.84
700258,5004,207,Generator,5/11/2025,4,26856.38,107425.52
700259,5004,215,Roofing Materials,31/10/2025,204,5627.49,1148007.96
700260,5004,207,Construction Tools,30/10/2025,152,17824.61,2709340.72
700261,5004,204,Fuel,27/10/2025,344,7712.73,2653179.12
700262,5004,208,Fuel,1/11/2025,132,4088.34,539660.88
700263,5004,224,Fuel,27/10/2025,260,5590.04,1453410.4
700264,5004,207,Generator,28/10/2025,8,26848.03,214784.24
700265,5004,208,Generator,29/10/2025,4,31487.77,125951.08
700266,5004,217,Generator,31/10/2025,4,21615.88,86463.52
700267,5004,207,Roofing Materials,2/11/2025,92,7711.92,709496.64
700268,5004,203,Fuel,31/10/2025,300,7504.8,2251440
700269,5004,216,Fuel,5/11/2025,288,5855.81,1686473.28
700270,5004,221,Fuel,29/10/2025,236,6118.72,1444017.92
700271,5004,221,Roofing Materials,31/10/2025,176,10947.29,1926723.04
700272,5004,205,Fuel,28/10/2025,320,5520.02,1766406.4
700273,5005,223,Water Bottles,31/10/2025,271,912.93,247404.03
