site_id,community_id,site_name,site_type,is_infrastructure,damage_category,estimated_repair_cost,power_restored
5001,128,Portmore Regional Hospital,Hospital,0,3,39462.1,0
5002,134,Port Royal Police Station,Police Station,0,3,60278.84,0
5003,142,Yallahs Clinic,Clinic,0,2,25854.49,1
5004,110,Rose Hall Substation,Power Station,1,4,106960.46,0
5005,134,Port Royal New Testament Church,Church,0,1,6533.51,0
5006,111,Samuels Clinic,Clinic,0,3,54779.66,0
5007,137,Gordon Town Regional Hospital,Hospital,0,1,12072.39,1
5008,104,Lucea Baptist Church,Church,0,5,189633.32,0
5009,138,Port Antonio All-Age School,School,0,2,31777.96,0
5010,113,Duncans Fire Station,Fire Station,0,5,267319.03,0
5011,126,Old Harbour All-Age School,School,0,2,15092.64,1
5012,118,Mandeville New Testament Church,Church,0,4,129000.1,0
5013,127,Linstead Baptist Church,Church,0,4,84110.96,0
5014,114,Clarks Town Baptist Church,Church,0,4,116447.07,0
5015,123,Discovery Bay Highway,Road,1,2,28270.75,1
5016,137,Gordon Town Pentecostal Church,Church,0,1,9146.24,0
5017,119,Christiana Fire Station,Fire Station,0,3,42346.7,1
5018,123,Discovery Bay Health Centre,Clinic,0,3,51522.34,0
5019,121,St.Ann's Bay High School,School,0,3,53353.66,0
5020,127,Linstead Highway,Road,1,2,18104.8,0
5021,136,Bull Bay All-Age School,School,0,2,20414.89,0
5022,139,Buff Bay Highway,Road,1,1,6561.53,1
5023,105,Black River Clinic,Clinic,0,4,78328.69,0
5024,121,St.Ann's Bay Primary School,School,0,3,43336.4,1
5025,125,St.Catherine Anglican Church,Church,0,3,64057.7,0
5026,105,Black River River Bridge,Bridge,1,5,179927.99,0
5027,125,Spanish Town Anglican Church,Church,0,2,15530.64,0
5028,119,Christiana Baptist Church,Church,0,3,46963.61,1
5029,120,Manchester Clinic,Clinic,0,3,56845.21,0
5030,116,Clarendon All-Age School,School,0,2,20889.32,1
5031,111,Samuels Clinic,Clinic,0,5,298824.73,0
5032,102,Negril Hospital,Hospital,0,3,53957.2,0
5033,119,Manchester Primary School,School,0,2,31698.6,1
5034,110,Rose Hall High School,School,0,5,351780.77,0
5035,132,Highgate Church of God,Church,0,4,136379.34,0
5036,115,May Pen Anglican Church,Church,0,4,139911.21,1
5037,144,St.Thomas Pentecostal Church,Church,0,1,11005.17,0
5038,141,Morant Bay Primary School,School,0,1,8831.39,1
5039,142,Yallahs Bypass,Road,1,2,27063.04,1
5040,138,Portland Pentecostal Church,Church,0,2,29380.92,0
5041,141,Morant Bay High School,School,0,1,11636.71,1
5042,106,St.Elizabeth Fire Station,Fire Station,0,4,109709.3,0
5043,133,Kingston Power Station,Power Station,1,1,8342.44,1
5044,143,Bath Anglican Church,Church,0,3,50218.96,0
5045,101,Savanna-la-Mar Police Station,Police Station,0,4,117218.45,0
5046,103,Little London Highway,Road,1,5,306102.02,0
5047,132,Highgate River Bridge,Bridge,1,3,65553.1,1
5048,103,Westmoreland Pump Station,Water Plant,1,4,89973.44,0
5049,129,Port Maria Health Centre,Clinic,0,3,68042.08,0
5050,140,Norwich Gully Bridge,Bridge,1,1,14252.48,1
5051,128,Portmore Highway,Road,1,4,147684.66,0
5052,101,Savanna-la-Mar Main Bridge,Bridge,1,5,440120.42,0
5053,135,Half-Way-Tree Type 3 Hospital,Hospital,0,3,43050.31,0
5054,121,St.Ann's Bay New Testament Church,Church,0,4,75228.51,1
5055,141,St.Thomas Police Station,Police Station,0,2,30814.46,1
5056,112,Falmouth Hospital,Hospital,0,5,157444.29,0
5057,131,Oracabessa Clinic,Clinic,0,2,25578.74,1
5058,138,Port Antonio Police Station,Police Station,0,1,8507.12,0
5059,115,May Pen Regional Hospital,Hospital,0,2,34681.67,0
5060,130,Annotto Bay All-Age School,School,0,3,38866.59,0
5061,117,Rocky Point Main Road,Road,1,3,36473.26,1
5062,127,Linstead Gully Bridge,Bridge,1,2,22686.53,1
5063,129,Port Maria Fire Station,Fire Station,0,4,140329.46,0
5064,101,Savanna-la-Mar All-Age School,School,0,4,149293.49,0
5065,110,Rose Hall Power Station,Power Station,1,4,111015.08,0
5066,141,Morant Bay High School,School,0,2,19409.72,1
5067,109,Montego Bay Primary School,School,0,3,65932.51,1
5068,101,Savanna-la-Mar Main Road,Road,1,5,203863.57,1
5069,110,Rose Hall Health Centre,Clinic,0,3,42833.62,0
5070,134,Port Royal Police Station,Police Station,0,3,65711.13,0
5071,132,Highgate Health Centre,Clinic,0,3,65174.47,1
5072,110,St.James Anglican Church,Church,0,3,49295.86,1
5073,128,Portmore Highway,Road,1,2,24917.51,1
5074,117,Rocky Point Highway,Road,1,4,108446.93,0
5075,140,Norwich High School,School,0,2,21956.18,1
5076,105,St.Elizabeth Primary School,School,0,5,453552.97,0
5077,104,Lucea High School,School,0,5,366513.98,0
5078,111,Samuels Substation,Power Station,1,3,65830.48,0
5079,142,Yallahs Type 3 Hospital,Hospital,0,1,13258.17,1
5080,137,Gordon Town Main Road,Road,1,1,13179.67,0
5081,102,Negril Highway,Road,1,5,371902,0
5082,112,Falmouth Primary School,School,0,5,339443.3,0
5083,126,Old Harbour Baptist Church,Church,0,3,57141.77,0
5084,123,Discovery Bay All-Age School,School,0,2,28757.71,1
5085,101,Savanna-la-Mar Church of God,Church,0,4,119673.24,0
5086,121,St.Ann's Bay Highway,Road,1,3,68910.72,0
5087,138,Portland Main Bridge,Bridge,1,2,15491.74,0
5088,101,Savanna-la-Mar High School,School,0,5,498993.58,0
5089,137,Gordon Town New Testament Church,Church,0,3,40726.83,0
5090,108,Maggoty Clinic,Clinic,0,4,122360.9,0
5091,144,Welchtown Highway,Road,1,1,14508.64,1
5092,132,Highgate Health Centre,Clinic,0,3,44597.53,0
5093,125,Spanish Town Police Station,Police Station,0,3,42458.66,1
5094,106,Santa Cruz All-Age School,School,0,4,147455.47,0
5095,136,St.Andrew Substation,Power Station,1,2,30531.94,1
5096,138,Port Antonio Gully Bridge,Bridge,1,2,17624.9,1
5097,111,Samuels Police Station,Police Station,0,4,80014.86,0
5098,124,St.Ann High School,School,0,3,52205.81,0
5099,113,Trelawny Pentecostal Church,Church,0,3,45862.67,0
5100,106,St.Elizabeth River Bridge,Bridge,1,3,51797.86,0
5101,124,Brown's Town Main Bridge,Bridge,1,2,32202.45,1
5102,105,Black River Reservoir,Water Plant,1,5,324610.85,0
5103,109,Montego Bay Anglican Church,Church,0,4,70781.67,0
5104,113,Trelawny High School,School,0,4,72656.25,0
5105,144,Welchtown Baptist Church,Church,0,3,54863.93,1
5106,135,Half-Way-Tree Parochial Road,Road,1,1,7001.5,1
5107,129,Port Maria Highway,Road,1,3,36818.99,0
5108,117,Rocky Point All-Age School,School,0,3,63060.48,0
5109,136,Bull Bay All-Age School,School,0,1,5801.15,1
5110,127,Linstead High School,School,0,2,25528.05,1
5111,131,Oracabessa Substation,Power Station,1,2,18190.89,1
